Chromosome	End	cM
chr3	10146193	49.590
chr3	10268467	49.590
chr3	10293773	49.893
chr3	10541528	49.893
chr4	0	0.000
chr4	131297	0.000
chr4	175687	0.302
chr4	176213	0.302
chr4	215792	0.906
chr4	215848	0.906
chr4	239724	0.906
chr4	293455	1.208
chr4	395279	1.208
chr4	453728	1.511
chr4	458023	1.511
chr4	546487	1.813
chr4	651608	1.813
chr4	749661	2.069
chr4	882713	2.719
chr4	882721	3.021
chr4	906604	3.021
chr4	1017684	3.323
chr4	1038986	3.323
chr4	1038991	3.625
chr4	1164962	3.625
chr4	1193661	3.732
chr4	1246367	4.701
chr4	1287632	4.834
chr4	1287636	4.834
chr4	1337856	5.438
chr4	1337861	5.438
chr4	1349956	5.438
chr4	1401895	5.740
chr4	1464530	5.740
chr4	1480534	5.793
chr4	1555672	6.344
chr4	1660450	6.344
chr4	1688304	6.647
chr4	1688316	6.647
chr4	1796286	7.026
chr4	1796308	7.026
chr4	1802406	7.045
chr4	1844989	7.477
chr4	2015283	7.997
chr4	2110582	8.754
chr4	2111801	9.065
chr4	2338327	9.366
chr4	2485820	9.366
chr4	2495630	9.668
chr4	2533976	9.668
chr4	2641742	10.506
chr4	2673280	10.574
chr4	2676225	10.574
chr4	2704753	10.731
chr4	2731005	11.178
chr4	2731026	11.178
chr4	2731074	11.178
chr4	2758103	11.480
chr4	2851074	11.480
chr4	2916254	11.783
chr4	2934194	12.085
chr4	2934209	12.085
chr4	3155849	12.991
chr4	3155863	12.991
chr4	3155983	12.991
chr4	3206665	13.595
chr4	3306034	13.595
chr4	3391742	13.875
chr4	3398592	14.040
chr4	3435181	15.407
chr4	3435210	15.710
chr4	3622248	15.710
chr4	3728076	16.012
chr4	3728097	16.617
chr4	3838951	17.221
chr4	3882615	18.322
chr4	3908236	18.792
chr4	3925558	19.080
chr4	4020622	19.336
chr4	4211694	19.336
chr4	4211703	19.638
chr4	4211775	19.638
chr4	4211776	19.940
chr4	4279842	19.940
chr4	4326386	20.242
chr4	4326394	20.242
chr4	4355267	20.544
chr4	4355279	20.544
chr4	4355284	20.846
chr4	4355288	20.846
chr4	4377554	21.459
chr4	4398605	21.752
chr4	4398614	22.055
chr4	4398616	22.357
chr4	4498380	22.753
chr4	4550596	23.597
chr4	4793917	24.564
chr4	4895954	24.716
chr4	4984670	24.771
chr4	4984673	25.375
chr4	4984677	25.752
chr4	4989590	25.807
chr4	5013505	26.057
chr4	5013524	26.360
chr4	5159454	26.360
chr4	5221575	26.582
chr4	5243876	26.799
chr4	5270786	26.964
chr4	5292910	26.964
chr4	5292913	26.964
chr4	5297244	27.318
chr4	5325345	27.653
chr4	5408061	27.870
chr4	5469587	27.870
chr4	5489958	28.172
chr4	5489970	28.172
chr4	5647353	28.475
chr4	5647354	28.475
chr4	5647398	28.475
chr4	5647455	28.777
chr4	5697668	29.079
chr4	5697696	29.079
chr4	5698844	29.389
chr4	5757088	29.811
chr4	5757124	30.113
chr4	5838183	30.589
chr4	5838260	30.589
chr4	5920224	30.589
chr4	6019873	30.892
chr4	6019876	30.892
chr4	6081831	31.194
chr4	6324970	31.194
chr4	6333184	31.300
chr4	6371601	31.865
chr4	6396183	31.909
chr4	6432490	32.333
chr4	6505122	32.744
chr4	6564539	33.277
chr4	6583897	33.308
chr4	6703242	33.308
chr4	6703665	33.312
chr4	6705045	33.626
chr4	6774540	34.215
chr4	7252644	34.215
chr4	7252645	34.215
chr4	7359463	35.646
chr4	7375528	35.725
chr4	7375531	36.934
chr4	7545598	37.464
chr4	7545611	37.464
chr4	7601293	37.828
chr4	7601299	38.130
chr4	7601330	38.130
chr4	7603692	38.444
chr4	7646577	38.444
chr4	7683688	39.049
chr4	7683711	39.049
chr4	7799520	39.653
chr4	7900396	39.653
chr4	7900404	39.653
chr4	7900423	39.955
chr4	8173433	40.257
chr4	8173444	40.257
chr4	8193987	40.559
chr4	8193998	40.559
chr4	8194021	40.650
chr4	8194077	40.866
chr4	8228259	41.217
chr4	8228292	41.217
chr4	8322168	41.656
chr4	8322186	41.656
chr4	8390135	42.360
chr4	8401244	42.376
chr4	8401273	42.376
chr4	8438506	42.678
chr4	8438603	42.980
chr4	8686017	42.980
chr4	8686029	42.980
chr4	8781256	43.554
chr4	8877600	43.830
chr4	8907536	44.218
chr4	9003052	44.491
chr4	9061417	44.793
chr4	9105935	45.397
chr4	9203522	46.149
chr4	9246634	46.214
chr4	9305605	46.605
chr4	9400676	46.605
chr4	9463740	46.908
chr4	9662098	46.908
chr5	0	0.000
chr5	199994	0.000
chr5	206447	0.302
chr5	206478	0.604
chr5	289784	0.604
chr5	289822	0.906
chr5	425820	1.511
chr5	440468	1.609
chr5	470840	1.892
chr5	556075	2.115
chr5	836127	2.115
chr5	897003	2.623
chr5	925388	2.719
chr5	925394	2.719
chr5	935119	3.625
chr5	935121	3.625
chr5	975391	4.834
chr5	1268534	4.834
chr5	1277579	5.136
chr5	1414148	5.136
chr5	1414174	5.438
chr5	1414178	6.344
chr5	1582098	6.344
chr5	1706138	6.647
chr5	1706151	6.647
chr5	1807537	6.949
chr5	1808519	6.949
chr5	1845228	7.473
chr5	1858340	7.553
chr5	1914302	7.553
chr5	2225175	7.855
chr5	2270927	7.855
chr5	2400925	8.157
chr5	2400955	8.157
chr5	2449356	8.459
chr5	2485168	8.459
chr5	2525515	9.154
chr5	2619794	9.366
chr5	2702094	9.366
chr5	2772848	9.972
chr5	2842754	10.574
chr5	2842762	10.574
chr5	2909465	12.049
chr5	2924713	12.573
chr5	2924714	12.875
chr5	2934241	13.625
chr5	2934285	13.628
chr5	2934324	13.628
chr5	3013485	13.974
chr5	3013490	13.974
chr5	3246682	14.502
chr5	3246719	14.502
chr5	3327847	15.106
chr5	3433795	15.106
chr5	3531386	15.408
chr5	3644117	15.580
chr5	3730038	16.012
chr5	3739378	16.012
chr5	3759244	16.617
chr5	3759279	16.617
chr5	3810221	16.692
chr5	3962474	17.033
chr5	3962486	17.033
chr5	4205058	18.103
chr5	4212720	18.135
chr5	4212751	18.135
chr5	4502377	18.659
chr5	4593833	19.546
chr5	4593864	19.546
chr5	4758744	20.227
chr5	4758774	20.529
chr5	4772429	20.544
chr5	4868224	20.544
chr5	4903983	20.846
chr5	4992491	20.846
chr5	4992554	21.148
chr5	4994044	21.753
chr5	4996034	21.753
chr5	5037596	22.055
chr5	5178216	22.055
chr5	5240405	22.188
chr5	5319114	22.489
chr5	5319161	22.489
chr5	5344396	23.136
chr5	5344432	23.439
chr5	5355093	23.994
chr5	5361132	24.193
chr5	5420035	25.076
chr5	5420069	25.076
chr5	5446805	25.076
chr5	5475124	25.378
chr5	5481489	25.403
chr5	5491463	25.455
chr5	5704055	26.869
chr5	5704075	26.869
chr5	5719623	26.889
chr5	5719643	26.889
chr5	5761531	27.191
chr5	5761545	27.191
chr5	5761561	27.494
chr5	5770503	27.880
chr5	5825372	28.399
chr5	5852410	28.701
chr5	5852428	28.701
chr5	5970710	29.003
chr5	5981994	29.306
chr5	6036064	29.306
chr5	6195655	29.608
chr5	6291450	29.608
chr5	6394175	29.910
chr5	6443060	29.910
chr5	6470935	30.212
chr5	6489494	30.212
chr5	6489505	30.514
chr5	6592785	30.758
chr5	6617177	31.118
chr5	6730590	31.619
chr5	6730591	31.619
chr5	6789978	32.025
chr5	6822632	32.025
chr5	6910373	32.327
chr5	7188644	32.327
chr5	7220954	34.480
chr5	7226915	34.598
chr5	7262508	34.744
chr5	7276013	34.786
chr5	7358544	35.967
chr5	7433302	36.254
chr5	7433324	36.254
chr5	7468760	36.269
chr5	8022810	36.796
chr5	8022843	36.796
chr5	8090096	37.479
chr5	8110012	37.591
chr5	8175937	37.736
chr5	8175952	37.736
chr5	8175959	38.340
chr5	8175973	38.340
chr5	8192143	38.420
chr5	8192161	38.421
chr5	8192166	38.421
chr5	8242233	39.579
chr5	8266590	39.848
chr5	8271027	39.880
chr5	8271060	39.880
chr5	8271132	39.880
chr5	8271168	39.880
chr5	8333024	40.484
chr5	8523979	40.484
chr5	8524013	40.786
chr5	8580384	41.200
chr5	8598918	41.236
chr5	8676938	42.067
chr5	8676978	42.067
chr5	8724869	42.297
chr5	8811122	42.297
chr5	8824912	42.599
chr5	8830870	42.599
chr5	8830905	42.901
chr5	8860854	42.901
chr5	8952256	43.371
chr5	9025569	43.807
chr5	9076408	43.807
chr5	9128129	44.411
chr5	9149384	44.411
chr5	9209819	45.016
chr5	9249202	45.016
chr5	9286078	45.619
chr5	9286140	45.620
chr5	9326609	45.620
chr5	9369201	46.320
chr5	9423570	46.828
chr5	9497490	46.828
chr5	9497512	47.077
chr5	9497517	47.141
chr5	9527984	47.618
chr5	9550271	48.047
chr5	9550294	48.048
chr5	9550311	48.048
chr5	9594254	48.350
chr5	9759839	48.350
chr5	9772363	48.652
chr5	9908586	48.652
chr6	0	0.000
chr6	169401	0.000
chr6	181574	0.302
chr6	318300	0.604
chr6	330016	0.604
chr6	330036	0.604
chr6	377095	1.095
chr6	405389	1.208
chr6	542810	1.208
chr6	558380	1.261
chr6	631747	1.813
chr6	742509	1.813
chr6	777457	2.115
chr6	777484	2.115
chr6	864465	2.417
chr6	1012026	2.719
chr6	1077694	2.719
chr6	1292350	4.221
chr6	1298754	4.230
chr6	1321336	4.230
chr6	1321422	4.532
chr6	1551606	4.532
chr6	1578785	4.834
chr6	1686110	5.136
chr6	1687872	5.136
chr6	1722394	5.438
chr6	1722398	5.438
chr6	1793149	6.042
chr6	1804840	6.042
chr6	1822032	6.103
chr6	1891080	6.647
chr6	1941394	6.647
chr6	2013148	6.832
chr6	2058177	7.251
chr6	2058182	7.251
chr6	2104199	7.251
chr6	2186422	7.553
chr6	2218488	7.855
chr6	2286352	7.855
chr6	2306175	8.157
chr6	2306223	8.157
chr6	2383945	8.301
chr6	2469428	9.970
chr6	2520243	10.272
chr6	2526208	10.272
chr6	2641688	10.471
chr6	2701818	10.876
chr6	2891319	10.876
chr6	2977628	11.178
chr6	3019535	11.480
chr6	3019548	11.480
chr6	3090143	11.920
chr6	3116557	12.387
chr6	3122267	12.387
chr6	3122271	12.387
chr6	3170582	12.868
chr6	3203842	12.991
chr6	3218790	13.010
chr6	3245893	13.085
chr6	3420329	14.475
chr6	3440784	14.502
chr6	3450979	14.502
chr6	3556838	15.084
chr6	3565002	15.106
chr6	3635235	15.106
chr6	3635274	15.408
chr6	3791322	15.408
chr6	3791342	15.710
chr6	3844736	15.710
chr6	3887132	16.012
chr6	4033380	16.012
chr6	4088050	16.616
chr6	4218535	16.616
chr6	4272472	17.052
chr6	4272478	17.052
chr6	4307425	17.441
chr6	4340561	17.523
chr6	4340568	17.523
chr6	4366100	17.825
chr6	4366257	17.825
chr6	4493502	18.127
chr6	4521167	18.127
chr6	4560796	18.166
chr6	4598701	18.361
chr6	4633384	18.582
chr6	4633386	18.582
chr6	4695816	19.324
chr6	4829583	19.797
chr6	4844709	19.836
chr6	4849424	19.842
chr6	4849458	19.842
chr6	4922567	20.705
chr6	4922611	20.706
chr6	4944743	21.101
chr6	4948877	21.148
chr6	4953667	21.148
chr6	5179645	21.752
chr6	5338384	21.752
chr6	5465795	22.357
chr6	5465822	22.357
chr6	5479038	22.399
chr6	5559073	23.262
chr6	5559264	23.263
chr6	5616231	23.263
chr6	5638811	23.867
chr6	5638843	23.867
chr6	5760375	24.471
chr6	5855741	24.471
chr6	5855751	24.471
chr6	5900352	24.988
chr6	5918529	25.076
chr6	5959064	25.076
chr6	5968302	25.378
chr6	5981193	25.378
chr6	6002308	25.680
chr6	6006019	25.680
chr6	6127660	26.284
chr6	6209706	26.284
chr6	6209715	26.284
chr6	6228208	26.888
chr6	6264175	26.888
chr6	6418874	27.190
chr6	6490438	27.190
chr6	6498157	27.513
chr6	6508072	27.959
chr6	6512116	28.443
chr6	6512123	28.443
chr6	6592435	28.998
chr6	6594214	29.003
chr6	6740723	29.003
chr6	6795341	29.305
chr6	7066319	29.305
chr6	7080367	29.641
chr6	7194357	29.910
chr6	7264450	29.910
chr6	7264471	30.212
chr6	7339220	30.212
chr6	7399489	30.683
chr6	7493607	31.525
chr6	7670737	31.722
chr6	7793092	31.722
chr6	7856560	32.024
chr6	7856592	32.024
chr6	7952890	32.327
chr6	8062637	32.327
chr6	8091940	32.931
chr6	8197648	32.931
chr6	8265047	33.144
chr6	8265051	33.446
chr6	8293084	33.535
chr6	8435991	33.535
chr6	8480883	33.837
chr6	8500828	33.987
chr6	8521034	34.441
chr6	8620093	34.441
chr6	8620111	34.743
chr6	8685131	34.743
chr6	8685170	34.744
chr6	8778402	35.521
chr6	8820151	35.789
chr6	8820153	35.789
chr6	8820199	36.091
chr6	9005065	36.659
chr6	9005084	36.659
chr6	9090241	38.016
chr6	9112846	38.414
chr6	9112880	38.631
chr6	9112894	38.723
chr6	9172478	38.979
chr6	9172491	38.979
chr6	9172497	38.979
chr6	9222526	39.281
chr6	9222577	39.281
chr6	9277568	39.357
chr6	9304452	39.696
chr6	9442672	39.886
chr6	9468451	39.886
